,Label,Object1,Object2,Object3,Object4,Action,Acteur
274,Armory,472,95,225,352,1369,1446
275,Armory,181,352,225,340,1369,1446
276,Armory,67,340,71,181,554,1446
277,Armory,71,472,482,340,1369,1446
278,Armory,181,255,352,67,1369,1446
279,Armory,482,67,255,11,1369,1446
280,Armory,67,95,482,71,1086,1446
281,Armory,11,71,472,95,554,1446
282,Armory,225,67,95,340,554,1446
283,Armory,472,67,11,352,1369,1446
284,Armory,352,95,181,472,1086,1446
285,Armory,255,11,181,472,1369,1446
286,Armory,225,11,95,340,554,1446
287,Armory,255,225,181,67,554,1446
288,Armory,95,67,225,482,1086,1446
289,Armory,67,71,482,181,1086,1446
290,Armory,482,340,67,95,1369,1446
291,Armory,482,181,472,352,554,1446
292,Armory,181,11,352,255,554,1446
293,Armory,95,352,482,340,1086,1446
294,Armory,340,225,181,255,1369,1446
295,Armory,11,225,352,181,1086,1446
296,Armory,352,67,225,340,1086,1446
297,Armory,181,225,352,472,1369,1446
298,Armory,71,67,255,482,1086,1446
299,Armory,352,225,340,71,1086,1446
300,auditorium,1376,376,1164,150,1260,1640
301,auditorium,425,1376,91,472,1260,1640
302,auditorium,1164,382,658,472,1260,1640
303,auditorium,472,1164,181,45,579,1640
304,auditorium,181,402,658,1376,579,1648
305,auditorium,409,307,402,472,1267,1648
306,auditorium,1376,91,150,49,1267,1640
307,auditorium,402,49,45,91,579,1640
308,auditorium,49,425,402,1164,802,1640
309,auditorium,150,658,1376,425,1267,1640
310,auditorium,402,91,45,409,581,1640
311,auditorium,89,472,1376,425,802,1640
312,auditorium,89,181,307,91,802,1648
313,auditorium,1164,658,91,150,802,1648
314,auditorium,402,91,1164,181,1423,1640
315,auditorium,1376,89,1164,425,579,1648
316,auditorium,402,150,1164,425,581,1640
317,auditorium,181,382,1376,402,1267,1648
318,auditorium,307,472,150,181,579,1648
319,auditorium,45,91,402,1164,579,1648
320,auditorium,49,307,402,472,802,1648
321,auditorium,89,382,45,91,1260,1640
322,auditorium,89,409,91,307,581,1648
323,auditorium,307,1376,376,150,579,1648
324,auditorium,472,49,45,91,1260,1648
325,auditorium,89,1376,91,307,1267,1640
326,auditorium,91,49,1376,1164,1267,1640
327,auditorium,472,307,150,45,581,1640
328,auditorium,402,1164,425,382,1267,1640
329,auditorium,181,89,1376,409,802,1640
330,auditorium,409,45,49,658,581,1640
331,auditorium,181,1164,425,658,1423,1648
332,auditorium,382,1376,150,307,579,1648
333,auditorium,402,150,425,1164,802,1640
334,auditorium,49,89,472,658,802,1640
335,auditorium,425,472,89,1376,1260,1640
336,auditorium,49,382,45,150,1423,1648
337,auditorium,425,150,376,91,802,1648
338,auditorium,307,376,45,382,1423,1648
339,auditorium,472,91,409,376,1267,1648
340,auditorium,658,472,150,45,1267,1648
341,auditorium,45,382,89,1164,1260,1648
342,auditorium,425,307,1376,181,1423,1648
343,auditorium,181,1376,376,307,802,1640
344,auditorium,425,382,45,91,1260,1640
345,auditorium,658,49,472,425,1267,1648
346,auditorium,181,45,658,425,1267,1640
347,auditorium,658,91,402,472,581,1640
348,auditorium,382,89,402,49,579,1648
349,auditorium,1376,91,472,150,1267,1640
350,auditorium,1164,307,402,91,1423,1640
351,auditorium,49,402,425,382,802,1648
352,auditorium,181,91,382,425,802,1648
353,auditorium,472,658,91,1164,581,1640
354,auditorium,472,382,425,89,1267,1640
355,auditorium,1164,181,150,382,1423,1640
356,auditorium,150,376,89,45,1267,1640
357,auditorium,472,181,425,376,1423,1648
358,auditorium,45,49,425,376,802,1640
359,auditorium,376,49,150,409,1260,1648
360,auditorium,472,181,307,91,1260,1648
361,auditorium,49,150,91,409,581,1648
362,auditorium,402,91,376,181,579,1640
363,auditorium,658,181,49,425,1260,1640
364,auditorium,89,658,181,45,1267,1648
365,auditorium,382,181,1164,472,579,1648
366,auditorium,91,89,1164,150,1423,1648
367,auditorium,658,409,45,150,802,1640
368,auditorium,376,181,402,382,581,1648
369,auditorium,472,1376,425,45,1423,1640
370,auditorium,409,425,45,181,1423,1640
371,auditorium,307,1376,45,89,1423,1648
372,auditorium,402,49,89,91,579,1640
373,auditorium,45,382,1376,91,1423,1648
374,auditorium,89,402,91,376,579,1640
375,auditorium,150,1164,307,45,1267,1640
376,auditorium,402,45,376,1164,579,1648
377,auditorium,425,181,472,1376,1423,1648
378,auditorium,150,409,45,658,579,1648
379,auditorium,89,91,658,382,1267,1648
380,auditorium,150,181,1164,658,581,1648
381,auditorium,409,658,45,150,1423,1640
382,auditorium,91,307,658,1164,1267,1640
383,auditorium,409,91,1376,89,1423,1640
384,auditorium,658,91,1376,181,802,1648
385,auditorium,89,382,425,1376,581,1640
386,auditorium,402,425,150,472,802,1648
387,auditorium,1164,1376,91,382,581,1640
388,auditorium,45,658,1164,409,802,1640
389,auditorium,658,181,45,1376,802,1640
390,auditorium,150,181,658,307,1423,1648
391,auditorium,472,1376,1164,91,802,1648
392,auditorium,1164,472,91,307,581,1640
393,auditorium,181,45,402,472,1267,1648
394,auditorium,658,91,49,150,581,1640
395,auditorium,376,402,658,1164,1267,1640
396,auditorium,307,150,409,1164,1267,1648
397,auditorium,91,409,472,382,802,1648
398,auditorium,181,89,45,658,1267,1640
399,auditorium,409,307,425,402,1267,1648
400,backstage,131,14,258,91,1422,1459
401,backstage,258,366,91,405,1422,1459
402,backstage,366,14,131,405,585,1459
403,backstage,1376,405,131,366,586,1765
404,backstage,258,366,1376,14,585,1769
405,backstage,91,366,405,1376,587,1769
406,backstage,258,91,131,405,585,1462
407,backstage,258,405,14,366,1422,1765
408,backstage,405,14,258,1376,586,1769
409,backstage,366,1376,131,14,585,1459
410,backstage,131,366,258,1376,586,1462
411,backstage,405,91,258,14,586,1459
412,backstage,405,366,91,14,585,1462
413,backstage,405,258,14,131,585,1462
414,backstage,131,366,91,14,586,1459
415,backstage,131,91,1376,405,587,1769
416,backstage,405,131,1376,91,1422,1459
417,backstage,91,131,14,405,587,1462
418,backstage,91,366,405,1376,586,1462
419,backstage,91,258,1376,14,585,1462
420,backstage,258,366,14,91,586,1462
421,backstage,14,91,131,405,586,1765
422,backstage,366,91,1376,258,585,1459
423,backstage,405,366,1376,14,586,1462
424,backstage,405,131,366,1376,587,1765
425,backstage,405,91,258,14,586,1769
426,backstage,405,14,1376,131,585,1769
427,backstage,91,1376,405,14,587,1769
428,backstage,131,1376,366,14,1422,1459
429,backstage,366,131,405,258,586,1765
430,backstage,366,258,1376,14,587,1769
431,backstage,258,1376,405,91,1422,1765
432,backstage,405,1376,366,131,585,1462
433,backstage,1376,405,131,366,586,1765
434,backstage,366,14,258,91,587,1459
435,backstage,131,366,1376,14,586,1769
436,backstage,91,405,131,14,1422,1459
437,backstage,91,258,405,1376,585,1462
438,backstage,131,91,14,1376,1422,1459
439,backstage,131,366,258,405,1422,1459
440,backstage,258,1376,131,14,1422,1462
441,backstage,258,14,366,1376,585,1459
442,backstage,131,258,91,14,586,1765
443,backstage,14,258,131,91,1422,1462
444,backstage,258,14,1376,405,586,1769
445,backstage,131,1376,405,366,1422,1765
446,backstage,1376,405,131,258,587,1769
447,backstage,366,131,405,14,587,1769
448,backstage,131,366,91,405,587,1462
449,backstage,405,14,258,366,585,1459
450,backstage,1376,405,91,258,586,1459
451,backstage,258,14,91,366,1422,1459
452,backstage,91,131,14,366,585,1462
453,backstage,366,14,91,131,587,1459
454,backstage,14,405,91,258,586,1765
455,backstage,405,131,91,1376,587,1769
456,backstage,14,131,91,405,587,1462
457,backstage,14,1376,91,366,1422,1765
458,backstage,1376,91,366,14,585,1765
459,backstage,91,258,14,366,1422,1769
460,backstage,258,405,14,1376,587,1462
461,backstage,366,405,258,1376,586,1462
462,backstage,258,405,366,1376,1422,1765
463,backstage,366,131,91,405,585,1769
464,backstage,405,258,366,91,586,1459
465,backstage,91,366,405,1376,585,1459
466,backstage,405,91,366,1376,585,1765
467,backstage,366,131,258,1376,1422,1765
468,backstage,91,131,366,405,1422,1765
469,backstage,91,14,131,258,586,1765
470,backstage,131,91,405,258,585,1769
471,backstage,258,1376,131,91,587,1765
472,backstage,258,1376,131,366,585,1765
473,backstage,1376,131,91,258,1422,1462
474,backstage,14,131,405,366,587,1459
475,backstage,405,131,91,366,1422,1459
476,backstage,131,91,1376,366,585,1765
477,backstage,91,258,366,131,587,1462
478,backstage,405,14,1376,131,587,1459
479,backstage,91,131,405,258,585,1769
480,backstage,14,1376,258,366,587,1462
481,backstage,258,405,366,14,585,1462
482,backstage,91,366,14,131,1422,1765
483,backstage,14,131,1376,258,587,1765
484,backstage,131,91,14,1376,586,1459
485,backstage,405,1376,258,131,585,1459
486,backstage,91,1376,14,131,587,1769
487,backstage,1376,366,14,405,585,1769
488,backstage,405,14,91,131,586,1462
489,backstage,258,1376,91,14,585,1769
490,backstage,91,366,14,405,586,1459
491,backstage,258,366,405,91,586,1462
492,backstage,131,366,14,91,585,1462
493,backstage,1376,131,258,366,585,1459
494,backstage,131,366,405,1376,587,1765
495,backstage,131,91,405,14,585,1462
496,backstage,366,91,131,258,585,1765
497,backstage,366,131,258,91,586,1765
498,backstage,366,1376,258,14,1422,1769
499,backstage,366,14,258,405,585,1459
500,bakery,249,114,594,472,1419,1464
501,bakery,181,90,91,337,594,1464
502,bakery,45,90,305,181,1369,1464
503,bakery,305,241,77,282,1183,1464
504,bakery,91,390,319,282,1376,1464
505,bakery,594,241,125,90,1183,1464
506,bakery,150,390,129,281,1420,1464
507,bakery,282,319,241,129,1000,1464
508,bakery,594,250,114,24,1420,1464
509,bakery,181,281,454,318,1407,1464
510,bakery,337,250,453,113,1420,1464
511,bakery,453,45,249,254,1000,1464
512,bakery,282,90,472,129,594,1464
513,bakery,472,319,90,114,1369,1464
514,bakery,454,113,150,250,1361,1464
515,bakery,114,113,150,90,1336,1464
516,bakery,594,125,337,318,1000,1464
517,bakery,113,24,254,319,1376,1464
518,bakery,453,281,319,90,1419,1464
519,bakery,150,129,91,254,1419,1464
520,bakery,594,390,250,318,1376,1464
521,bakery,125,241,337,114,594,1464
522,bakery,472,77,337,594,1369,1464
523,bakery,90,91,594,390,1000,1464
524,bakery,282,281,91,45,1361,1464
525,bakery,281,318,77,337,1336,1464
526,bakery,91,305,472,281,1407,1464
527,bakery,453,125,150,114,1183,1464
528,bakery,305,337,282,249,1361,1464
529,bakery,594,150,472,249,1376,1464
530,bakery,77,337,249,125,1183,1464
531,bakery,281,594,241,91,1000,1464
532,bakery,113,594,254,454,1000,1464
533,bakery,125,249,282,281,1000,1464
534,bakery,454,250,113,453,1000,1464
535,bakery,125,454,318,282,1420,1464
536,bakery,337,150,113,45,1183,1464
537,bakery,250,453,249,319,1407,1464
538,bakery,281,77,181,125,594,1464
539,bakery,254,150,472,91,1376,1464
540,bakery,282,150,91,113,1419,1464
541,bakery,390,45,594,318,1407,1464
542,bakery,453,90,125,114,1361,1464
543,bakery,129,181,318,472,1336,1464
544,bakery,129,91,318,453,594,1464
545,bakery,305,594,241,114,1183,1464
546,bakery,472,129,45,282,594,1464
547,bakery,472,282,337,390,594,1464
548,bakery,472,24,129,390,1420,1464
549,bakery,281,91,90,181,1183,1464
550,bakery,281,114,594,90,1336,1464
551,bakery,594,318,77,129,1183,1464
552,bakery,337,594,250,454,1183,1464
553,bakery,337,305,150,282,594,1464
554,bakery,125,114,150,249,1183,1464
555,bakery,150,250,90,77,594,1464
556,bakery,114,45,241,472,1361,1464
557,bakery,125,319,594,454,1336,1464
558,bakery,318,129,24,90,1420,1464
559,bakery,113,181,337,91,1420,1464
560,bakery,305,454,281,77,594,1464
561,bakery,282,150,454,113,1336,1464
562,bakery,281,77,45,24,1000,1464
563,bakery,318,113,254,454,1336,1464
564,bakery,254,250,282,472,1419,1464
565,bakery,472,181,113,241,594,1464
566,bakery,241,113,254,91,1407,1464
567,bakery,129,114,318,282,1361,1464
568,bakery,453,113,305,281,1183,1464
569,bakery,319,90,390,305,1376,1464
570,bakery,90,305,181,337,1000,1464
571,bakery,45,305,318,472,1361,1464
572,bakery,150,125,45,319,1183,1464
573,bakery,113,91,594,129,1376,1464
574,bakery,318,454,249,305,1336,1464
575,bakery,453,390,472,454,1000,1464
576,bakery,77,150,281,254,1376,1464
577,bakery,318,114,77,181,1407,1464
578,bakery,454,281,90,45,1369,1464
579,bakery,150,282,249,45,594,1464
580,bakery,45,305,249,453,1419,1464
581,bakery,390,114,77,453,1369,1464
582,bakery,129,113,594,125,1000,1464
583,bakery,249,113,282,318,1419,1464
584,bakery,129,24,472,150,1183,1464
585,bakery,254,305,319,453,1369,1464
586,bakery,181,390,45,337,594,1464
587,bakery,125,129,249,594,1361,1464
588,bakery,250,181,150,390,1361,1464
589,bakery,77,453,390,594,1361,1464
590,bakery,254,281,594,241,1183,1464
591,bakery,453,305,249,150,1336,1464
592,bakery,453,113,129,181,1000,1464
593,bakery,181,453,129,318,1183,1464
594,bakery,282,91,594,249,1407,1464
595,bakery,129,594,241,114,1376,1464
596,bakery,250,91,319,390,1183,1464
597,bakery,454,114,318,249,1336,1464
598,bakery,150,319,241,125,1361,1464
599,bakery,181,114,250,453,1376,1464
600,bank indoor,124,276,39,91,636,1477
601,bank indoor,219,121,120,401,636,1769
602,bank indoor,276,3,39,121,1422,1769
603,bank indoor,401,124,39,120,642,1477
604,bank indoor,91,118,3,101,1361,1769
605,bank indoor,3,121,401,124,636,1765
606,bank indoor,219,101,401,276,1415,1476
607,bank indoor,219,118,276,3,1422,1477
608,bank indoor,401,3,124,39,1415,1769
609,bank indoor,118,121,124,3,642,1477
610,bank indoor,219,425,39,120,642,1769
611,bank indoor,401,121,101,425,636,1476
612,bank indoor,3,425,219,124,1422,1476
613,bank indoor,3,121,101,118,1415,1476
614,bank indoor,101,276,401,425,1361,1769
615,bank indoor,121,219,39,3,642,1477
616,bank indoor,3,120,425,219,1361,1769
617,bank indoor,401,121,425,3,1361,1765
618,bank indoor,39,219,91,101,1415,1476
619,bank indoor,118,124,120,91,1422,1765
620,bank indoor,425,3,401,124,636,1769
621,bank indoor,121,219,401,101,636,1765
622,bank indoor,219,120,425,3,1415,1765
623,bank indoor,91,425,401,101,636,1765
624,bank indoor,124,120,39,3,1422,1477
625,bank indoor,3,425,121,124,1422,1477
626,bank indoor,401,121,276,425,1415,1769
627,bank indoor,39,101,401,121,642,1765
628,bank indoor,425,120,91,124,642,1477
629,bank indoor,3,124,219,101,1361,1769
630,bank indoor,91,401,219,39,1422,1769
631,bank indoor,401,219,120,101,642,1477
632,bank indoor,118,91,3,121,1415,1476
633,bank indoor,39,124,276,425,1361,1769
634,bank indoor,39,121,118,401,1361,1476
635,bank indoor,39,120,118,401,1422,1765
636,bank indoor,401,121,425,219,642,1769
637,bank indoor,118,121,219,276,1422,1769
638,bank indoor,401,120,39,3,1415,1476
639,bank indoor,124,39,276,3,642,1477
640,bank indoor,401,124,120,39,636,1769
641,bank indoor,276,425,219,39,1415,1769
642,bank indoor,101,219,121,91,636,1477
643,bank indoor,120,401,276,118,1415,1769
644,bank indoor,276,121,425,219,1415,1476
645,bank indoor,219,91,124,101,636,1769
646,bank indoor,101,120,219,39,1361,1477
647,bank indoor,401,425,101,39,1415,1769
648,bank indoor,91,118,101,276,642,1476
649,bank indoor,124,118,425,219,1422,1477
650,bank indoor,121,101,3,276,636,1769
651,bank indoor,121,118,401,425,1415,1769
652,bank indoor,39,219,124,276,1422,1765
653,bank indoor,124,91,120,101,1361,1769
654,bank indoor,121,101,39,219,642,1477
655,bank indoor,91,121,219,120,1422,1765
656,bank indoor,425,101,91,118,1361,1476
657,bank indoor,401,39,124,219,1415,1476
658,bank indoor,118,276,91,219,1415,1765
659,bank indoor,425,91,276,118,1361,1476
660,bank indoor,91,121,39,3,636,1476
661,bank indoor,276,101,91,120,1361,1477
662,bank indoor,118,120,121,401,1415,1769
663,bank indoor,219,118,3,91,642,1765
664,bank indoor,425,39,219,91,1415,1477
665,bank indoor,118,101,3,276,636,1769
666,bank indoor,118,425,401,120,1415,1765
667,bank indoor,219,120,276,101,1422,1476
668,bank indoor,3,425,124,120,1415,1477
669,bank indoor,118,120,3,121,1422,1769
670,bank indoor,91,401,101,118,1422,1765
671,bank indoor,121,91,219,39,1361,1476
672,bank indoor,124,401,121,120,1415,1769
673,bank indoor,124,101,91,219,642,1477
674,bank indoor,3,120,118,91,1415,1765
675,bank indoor,219,3,101,120,1361,1769
